"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","345","Login fallido con credenciales inválidas","","2026-07-29","passed","2026-07-29","","Inicio de Sesión","",""
"","183","Seleccionar la Opción 2","","2026-07-29","passed","2026-07-29","","Menú Desplegable","",""
"","208","Desmarcar el segundo checkbox","","2026-07-29","passed","2026-07-29","","Casillas de Verificación","",""
"","340","Login exitoso con credenciales válidas","","2026-07-29","passed","2026-07-29","","Inicio de Sesión","",""
"","191","Seleccionar la Opción 1","","2026-07-29","passed","2026-07-29","","Menú Desplegable","",""
"","614","Marcar el primer checkbox","","2026-07-29","passed","2026-07-29","","Casillas de Verificación","",""
